year,driverId,driverRef,total_points
2018,1,Hamilton,408
2018,20,Vettel,320
2018,8,Raikkonen,251
2018,822,Bottas,247
2018,830,Verstappen,249
2019,1,Hamilton,413
2019,822,Bottas,326
2019,830,Verstappen,278
2019,20,Vettel,240
2019,844,Leclerc,264
2020,1,Hamilton,347
2020,822,Bottas,347
2020,830,Verstappen,214
2020,844,Ricciardo,119
2020,815,Perez,125
2021,830,Verstappen,395.5
2021,1,Hamilton,387.5
2021,822,Bottas,226
2021,815,Perez,190
2021,846,Sainz,164.5
2022,830,Verstappen,454
2022,844,Leclerc,308
2022,815,Perez,305
2022,847,Russell,275
2022,832,Sainz,246